z,UV Magnitude,log10 Phi [ cMpc^-1 dex^-1],lower uncertainity (log10),upper uncertainity (log10),Source
0,-20.323,-3.5220110237491107,0.26076832060637045,0.1617962367359307,Arnouts2005
0,-20.167,-4.392009141452825,1.345539768816745,0.2911179996462243,Arnouts2005
0,-19.702,-3.325965999568745,0.1505476680880271,0.11158052451556921,Arnouts2005
0,-19.295,-3.330032630091496,0.17958744990532516,0.12667633387661237,Arnouts2005
0,-18.986,-2.910094888560602,0.142814647219776,0.10729271604840518,Arnouts2005
0,-18.573,-2.752026733638193,0.12005897199021343,0.09395561738400282,Arnouts2005
0,-18.249,-2.6669559701765126,0.14670936657053835,0.10946709511129749,Arnouts2005
0,-17.843,-2.5240384108075764,0.11167331357798682,0.08875180702874985,Arnouts2005
0,-17.476,-2.5310621943345386,0.14897857659528002,0.1107200559282715,Arnouts2005
0,-17.18,-2.3340439705460434,0.15904530390243865,0.11615811802511455,Arnouts2005
0,-17.718,-2.2660356913279625,0.1630851,0.1182866,Cucciati2012
0,-16.987,-1.9833439913279625,0.0963299,0.0787941,Cucciati2012
0,-16.023,-1.9722922913279626,0.0881615,0.0732494,Cucciati2012
0,-15.076,-1.6759147913279624,0.0612814,0.0536939,Cucciati2012
0,-14.142,-1.7298849913279626,0.0674027,0.0583335,Cucciati2012
0,-13.269,-1.7495597913279624,0.0790752,0.066871,Cucciati2012
0,-12.216,-1.7614795913279626,0.1099561,0.0876659,Cucciati2012
0,-18.709,-2.4660022913279627,0.0753084,0.0641592,Cucciati2012
0,-18.006,-2.1724688913279624,0.0496895,0.0445835,Cucciati2012
0,-17.339,-1.9570332913279627,0.0373009,0.034349,Cucciati2012
0,-16.633,-1.7652205913279624,0.0291605,0.0273251,Cucciati2012
0,-15.941,-1.6649307913279623,0.0382085,0.0351171,Cucciati2012
0,-15.26,-1.6620781913279625,0.0721573,0.0618592,Cucciati2012
0,-14.595,-1.5123161913279626,0.1524161,0.1125989,Cucciati2012
0,-19.899,-5.293879890297297,0.9102400923586282,0.2734737861462273,Wyder2005
0,-19.546,-4.109355463704753,0.16277808682775774,0.11812591364250524,Wyder2005
0,-18.991,-3.562566556202029,0.0669388588322839,0.05798599878389554,Wyder2005
0,-18.511,-3.1526124489726044,0.041302589353775065,0.03771346677213083,Wyder2005
0,-18.032,-2.7994230732451517,0.035629554133006724,0.03292683358628601,Wyder2005
0,-17.552,-2.5944828930236237,0.029067902379059873,0.027243800766537873,Wyder2005
0,-17.098,-2.526221165353275,0.03563219839997611,0.032929091703394864,Wyder2005
0,-16.517,-2.537602002101044,0.059535039930392664,0.05234892673542557,Wyder2005
0,-16.013,-2.287013766405617,0.061233469588265255,0.05365708538344549,Wyder2005
0,-15.558,-2.1959287511143386,0.07466345192259327,0.06369077576453908,Wyder2005
0,-15.079,-2.1161682866705473,0.10575285139199764,0.08497800058340577,Wyder2005
0,-14.625,-2.1844886626372357,0.2027274806430288,0.1376682637028699,Wyder2005
0,-13.994,-2.0364482664259036,0.2327694579077071,0.15072556298748996,Wyder2005
0,-13.539,-2.0706321707599002,0.39432701598893916,0.20321201841963732,Wyder2005
0,-13.06,-1.8771290771355644,0.4683093681226922,0.22006471202319489,Wyder2005
0,-12.025,-1.3303112919437918,0.5727786950481519,0.2386890643761863,Wyder2005
1,-19.595,-3.3789751913279624,0.1497392,0.1111378,Cucciati2012
1,-19.001,-2.6133010913279624,0.0560534,0.0496388,Cucciati2012
1,-18.352,-2.3028443913279624,0.0373527,0.034393,Cucciati2012
1,-17.717,-2.0890527913279624,0.0284017,0.0266578,Cucciati2012
1,-17.108,-1.9028760913279625,0.0318661,0.029687,Cucciati2012
1,-16.515,-1.8425522913279626,0.0637399,0.0555712,Cucciati2012
1,-15.765,-1.8629791913279625,0.1250035,0.0969489,Cucciati2012
1,-19.523,-2.9918553913279626,0.0770066,0.0653868,Cucciati2012
1,-18.993,-2.5474618913279623,0.0438083,0.0397914,Cucciati2012
1,-18.445,-2.1869069913279624,0.028197,0.0264774,Cucciati2012
1,-17.909,-2.0022160913279623,0.0348747,0.0322812,Cucciati2012
1,-17.389,-1.8129803913279625,0.0455524,0.0412248,Cucciati2012
1,-16.942,-1.9397563913279625,0.084538,0.070733,Cucciati2012
1,-16.305,-1.9594706913279625,0.1094293,0.0873314,Cucciati2012
1,-20.009,-3.1097334913279626,0.0818184,0.0688207,Cucciati2012
1,-19.515,-2.6720699913279624,0.0474464,0.0427696,Cucciati2012
1,-19.043,-2.3433621913279623,0.0314986,0.0293677,Cucciati2012
1,-18.563,-2.0867330913279627,0.0320305,0.0298296,Cucciati2012
1,-18.089,-1.9018144913279627,0.0487288,0.0438088,Cucciati2012
1,-17.69,-1.9078162913279626,0.1040558,0.0838806,Cucciati2012
1,-17.026,-1.9107129913279626,0.1268821,0.0980719,Cucciati2012
1,-20.858,-3.652307291327962,0.1415152,0.1065605,Cucciati2012
1,-20.249,-3.2155936913279626,0.0797285,0.0673373,Cucciati2012
1,-19.712,-2.6574176913279626,0.0395882,0.0362791,Cucciati2012
1,-19.157,-2.2354173913279625,0.0509375,0.0455854,Cucciati2012
1,-18.637,-2.0663070913279626,0.0632436,0.0551937,Cucciati2012
1,-18.23,-1.9894472913279624,0.1185699,0.0930434,Cucciati2012
1,-20.936,-3.662369991327963,0.0885392,0.0735097,Cucciati2012
1,-20.467,-3.0975913913279625,0.0429333,0.0390682,Cucciati2012
1,-20.005,-2.6996226913279626,0.0773952,0.0656665,Cucciati2012
1,-19.562,-2.3826533913279624,0.0690304,0.0595481,Cucciati2012
1,-19.153,-2.4260441913279625,0.1084789,0.0867261,Cucciati2012
1,-18.681,-2.3671433913279625,0.1500815,0.1113254,Cucciati2012
1,-20.73182552504039,-3.8877742770422463,0.8847926267280943,0.5069124423963127,Oesch2010
1,-20.231017770597738,-3.5744102217427134,0.4608294930875516,0.35944700460830026,Oesch2010
1,-19.73021001615509,-2.8923825719731253,0.17511520737327402,0.15668202764977224,Oesch2010
1,-19.22940226171244,-2.698834184876351,0.10138248847926423,0.14746543778802046,Oesch2010
1,-18.736672051696285,-2.4315530788855666,0.10138248847926423,0.08294930875576156,Oesch2010
1,-18.22778675282714,-2.0536728945537677,0.06451612903225801,0.05529953917050623,Oesch2010
1,-17.735056542810984,-2.0075899452450123,0.09216589861751112,0.08294930875576068,Oesch2010
1,-17.234248788368337,-1.8416913277334914,0.07373271889400934,0.06451612903225756,Oesch2010
2,-20.116746411483252,-2.3661049351481878,0.033707865168539186,0.05617977528089879,Bouwens2021
2,-19.622966507177033,-2.118913923912233,0.04494382022471921,0.033707865168539186,Bouwens2021
2,-19.117703349282294,-1.9503745980695362,0.011235955056180025,0.04494382022471921,Bouwens2021
2,-18.61244019138756,-1.8380150475077386,0.033707865168539186,0.03370786516853963,Bouwens2021
2,-18.11866028708134,-1.703183586833581,0.04494382022471921,0.033707865168539186,Bouwens2021
2,-17.613397129186602,-1.5346442609908841,0.03370786516853941,0.022471910112359383,Bouwens2021
2,-16.614354066985648,-1.411048755372907,,,Bouwens2021
2,-21.576,-3.5722838913279626,0.1603315,0.1168391,Cucciati2012
2,-21.045,-3.0452679913279623,0.0761545,0.0647719,Cucciati2012
2,-20.593,-2.6129051913279624,0.068155,0.0588959,Cucciati2012
2,-20.108,-2.4683939913279627,0.0676747,0.0585371,Cucciati2012
2,-21.424669243347708,-3.9154240466274945,0.45161290322579806,0.36866359447004005,Oesch2010
2,-20.92262524156385,-3.408511604231184,0.22119815668202403,0.19354838709677136,Oesch2010
2,-20.420395421436005,-2.8555162125261164,0.12903225806451335,0.09216589861750979,Oesch2010
2,-19.919392002378476,-2.6066682862588344,0.09216589861750979,0.0829493087557589,Oesch2010
2,-19.418239928645757,-2.320954000544549,0.10138248847926068,0.06451612903225712,Oesch2010
2,-22.0,-4.499256253010207,0.13084112149532956,0.08411214953271173,Parsa2016
2,-21.472527472527474,-4.069349710954132,0.06542056074766389,0.04672897196261783,Parsa2016
2,-21.01098901098901,-3.433835692262543,0.02803738317757043,0.04672897196261783,Parsa2016
2,-20.483516483516482,-2.8637422343186167,0.028037383177570874,0.018691588785046953,Parsa2016
2,-20.0,-2.405798309084971,0.03738317757009302,0.046728971962616495,Parsa2016
2,-19.516483516483518,-2.0693497109541297,0.01869158878504651,0.02803738317756954,Parsa2016
2,-18.98901098901099,-1.9104712062812328,0.02803738317756954,0.01869158878504651,Parsa2016
2,-18.505494505494504,-1.788975879178429,0.028037383177569986,0.009345794392523477,Parsa2016
2,-18.0,-1.6955179352531946,0.065420560747663,0.04672897196261605,Parsa2016
2,-17.494505494505496,-1.6114057857204847,0.04672897196261605,0.05607476635513975,Parsa2016
2,-17.01098901098901,-1.5086020474027273,0.03738317757009302,0.04672897196261627,Parsa2016
2,-16.483516483516482,-1.4431814866550638,0.046728971962616495,0.01869158878504651,Parsa2016
2,-15.999999999999998,-1.3684151315148765,0.028037383177569764,0.05607476635513953,Parsa2016
2,-15.516483516483516,-1.34972354272983,0.03738317757009302,0.03738317757009302,Parsa2016
2,-14.989010989010987,-1.12542447730927,0.028037383177570208,0.037383177570093684,Parsa2016
2,-14.505494505494505,-1.0786955053466531,0.009345794392523477,0.028037383177569986,Parsa2016
2,-22.58,-5.3979400086720375,0.6020599913279625,0.24303804868629442,Reddy2009
2,-22.08,-4.455931955649724,0.09691001300805624,0.07918124604762511,Reddy2009
2,-21.58,-3.8477116556169433,0.05191779926549378,0.04636874257136592,Reddy2009
2,-21.08,-3.4672456210075024,0.08096794346820735,0.06821851669425083,Reddy2009
2,-20.58,-2.904481957676849,0.029938327594702496,0.028006938619581145,Reddy2009
2,-20.08,-2.692503962086787,0.04409670657921083,0.04002912208547649,Reddy2009
2,-19.58,-2.4457531918338895,0.04049665808428715,0.03704045689238855,Reddy2009
2,-19.08,-2.1444202774982823,0.03478734141351403,0.03220631233665383,Reddy2009
2,-18.58,-2.086822166009532,0.043301020723701455,0.03937245990773386,Reddy2009
2,-18.08,-1.8989406450918844,0.06594995196354003,0.057242814319906854,Reddy2009
3,-22.52822966507177,-4.8043071823391985,0.808988764044944,0.2808988764044944,Bouwens2021
3,-21.770334928229666,-3.714419541889761,0.3146067415730336,0.16853932584269726,Bouwens2021
3,-21.265071770334927,-3.0177903284066145,0.0786516853932584,0.101123595505618,Bouwens2021
3,-20.771291866028708,-2.7256554969459406,0.05617977528089879,0.06741573033707882,Bouwens2021
3,-20.26602870813397,-2.399812800316727,0.03370786516853963,0.04494382022471877,Bouwens2021
3,-19.77224880382775,-2.2537453845863897,0.03370786516853963,0.033707865168539186,Bouwens2021
3,-19.278468899521528,-2.0627341486313338,0.02247191011236005,0.033707865168539186,Bouwens2021
3,-18.773205741626793,-1.9391386430133561,0.033707865168539186,0.033707865168539186,Bouwens2021
3,-18.279425837320574,-1.804307182339199,0.03370786516853963,0.022471910112359605,Bouwens2021
3,-17.774162679425835,-1.5458802160470642,0.022471910112359605,0.022471910112359605,Bouwens2021
3,-17.25741626794258,-1.5908240362717834,0.05617977528089879,0.056179775280899014,Bouwens2021
3,-22.897,-5.145111991327963,0.2700214,0.1652427,Cucciati2012
3,-22.337,-4.003735091327963,0.0866538,0.0722067,Cucciati2012
3,-21.862,-3.4184903913279623,0.0903444,0.0747484,Cucciati2012
3,-21.429,-3.0457773913279627,0.0884164,0.0734251,Cucciati2012
3,-20.851,-2.8575328913279625,0.1060746,0.0851852,Cucciati2012
3,-22.464306442251882,-5.061800184561382,0.23364685398245566,0.14026492779352218,Parsa2016
3,-22.031955208084394,-4.239875361236809,0.08411286743368418,0.046652555392442174,Parsa2016
3,-21.533030623741077,-3.530177843227864,0.04672937079649131,0.027935201939162546,Parsa2016
3,-21.011232119080944,-2.9513481685837752,0.018691748318596435,0.028037622477894875,Parsa2016
3,-20.488955651906725,-2.437939613054773,0.04672937079649042,0.037434706906557924,Parsa2016
3,-20.008398484176023,-2.2142019461946445,0.028037622477893986,0.03738349663719154,Parsa2016
3,-19.527499914649546,-2.037193650131007,0.01869174831859599,0.04672937079648953,Parsa2016
3,-19.001945990235907,-1.9723870542483137,0.02803762247789443,0.028037622477893542,Parsa2016
3,-18.5213888225052,-1.748649387388185,0.05607524495578753,0.06542111911508597,Parsa2016
3,-18.039602608309714,-1.6931374553954233,0.04672937079648998,0.05602403468642203,Parsa2016
3,-17.514799767846778,-1.5255262437604498,0.028037622477893986,0.05607524495578775,Parsa2016
3,-17.054590147144175,-1.5167180774294948,0.05607524495578775,0.04665255539244084,Parsa2016
3,-16.50684510600525,-1.4893205833186767,0.05607524495578775,0.0,Parsa2016
3,-16.025127172168922,-1.424462777166616,0.03738349663719176,0.03738349663719198,Parsa2016
3,-15.564712710388857,-1.4436922333135547,0.04672937079648998,0.02796080707384485,Parsa2016
3,-22.77,-5.522878745280337,0.17609125905568135,0.1249387366082999,Reddy2009
3,-22.27,-4.522878745280337,0.2466723333413885,0.1563472008599236,Reddy2009
3,-21.77,-4.070581074285707,0.2051430561135037,0.13876693603186885,Reddy2009
3,-21.27,-3.619788758288394,0.2466723333413885,0.15634720085992404,Reddy2009
3,-20.77,-3.1636758842932484,0.19584267873632966,0.1344874951657662,Reddy2009
3,-20.27,-2.815308569182401,0.08535615313164113,0.07130429590480292,Reddy2009
3,-19.77,-2.5325398904927363,0.05231975731139116,0.04668902496817351,Reddy2009
3,-19.27,-2.3669357273085008,0.046027154948043325,0.04161319518169959,Reddy2009
3,-18.77,-2.2568039185512987,0.049908924443045954,0.044760041835230524,Reddy2009
4,-22.700478468899522,-4.894194822788637,0.606741573033708,0.24719101123595522,Bouwens2021
4,-22.183732057416268,-4.4222847104290866,0.404494382022472,0.202247191011236,Bouwens2021
4,-21.689952153110045,-3.433520665485266,0.0786516853932584,0.05617977528089835,Bouwens2021
4,-21.196172248803826,-3.0739701036875133,0.04494382022471921,0.05617977528089879,Bouwens2021
4,-20.679425837320572,-2.7593633621144797,0.04494382022471921,0.033707865168539186,Bouwens2021
4,-20.185645933014353,-2.399812800316727,0.03370786516853963,0.04494382022471877,Bouwens2021
4,-19.691866028708134,-2.24250942953021,0.04494382022471921,0.03370786516853963,Bouwens2021
4,-19.19808612440191,-2.130149878968412,-0.08988764044943753,0.06741573033707837,Bouwens2021
4,-18.68133971291866,-1.9616105531257162,-0.33707865168539364,0.06741573033707926,Bouwens2021
4,-17.923444976076553,-1.5908240362717834,-0.3707865168539326,0.03370786516853941,Bouwens2021
4,-16.935885167464114,-1.1638577441369518,0.1348314606741574,0.05617977528089879,Bouwens2021
4,-15.936842105263157,-1.1526217890807722,,0.1123595505617978,Bouwens2021
4,-23.132,-4.832433091327963,0.1731387,0.1234549,Cucciati2012
4,-22.639,-4.2031698913279625,0.1001753,0.0813445,Cucciati2012
4,-22.186,-4.146158691327963,0.0910559,0.0752342,Cucciati2012
4,-21.484,-3.5766597913279625,0.3868154,0.2012937,Cucciati2012
4,-22.25,-6.266802734893431,1.7331972651065692,0.5480634219484433,Duncan2014
4,-21.75,-4.241088107602026,0.20381744381965472,0.138165110811447,Duncan2014
4,-21.25,-3.712198270069774,0.09328738804775893,0.07599821554888342,Duncan2014
4,-20.75,-3.3045183235098023,0.05351207878813824,0.04740049494707543,Duncan2014
4,-20.25,-3.0629838925351858,0.04275544301782608,0.037863865542116404,Duncan2014
4,-19.75,-2.7825160557860937,0.0344989772103248,0.030489322147900566,Duncan2014
4,-19.25,-2.5575202309355514,0.03628034540113578,0.03406203996298007,Duncan2014
4,-18.75,-2.20690839982342,0.05653575301394387,0.047516278832710146,Duncan2014
