z,UV Magnitude,log10 Phi [ cMpc^-1 dex^-1],lower uncertainity (log10),upper uncertainity (log10),Source
4,-18.25,-2.0390538042661683,0.0841512195331311,0.06517832101161858,Duncan2014
4,-17.75,-2.001304841688344,0.15359711829739897,0.11290336656873823,Duncan2014
4,-23.013774104683193,-5.481748979768018,0.2149532710280404,0.2149532710280413,Parsa2016
4,-22.506887052341597,-4.613182259034769,0.12149532710280564,0.10280373831775869,Parsa2016
4,-22.0,-3.9782603981146067,0.06542056074766478,0.05607476635514175,Parsa2016
4,-21.515151515151516,-3.427424940737094,0.028037383177570874,0.037383177570093906,Parsa2016
4,-21.00826446280992,-2.9326899957047816,0.02803738317757043,0.018691588785046953,Parsa2016
4,-20.501377410468322,-2.568796172167797,0.04672897196261738,0.03738317757009435,Parsa2016
4,-19.99449035812672,-2.391818236481279,0.028037383177569986,0.04672897196261605,Parsa2016
4,-19.48760330578512,-2.3363356278975664,0.02803738317756954,0.03738317757009302,Parsa2016
4,-19.002754820936637,-2.2901730677163146,0.11214953271027905,0.09345794392523255,Parsa2016
4,-18.49586776859504,-2.0103913937120406,0.07476635514018604,0.06542056074766256,Parsa2016
4,-18.011019283746556,-1.8801166839980787,0.065420560747663,0.065420560747663,Parsa2016
4,-17.482093663911847,-1.7592392606567646,0.04672897196261605,0.065420560747663,Parsa2016
4,-16.997245179063356,-1.563543990195139,0.03738317757009302,0.06542056074766278,Parsa2016
4,-16.49035812672176,-1.6108651199291817,0.03738317757009302,0.06542056074766278,Parsa2016
4,-16.005509641873275,-1.5460109709628838,0.056074766355139305,0.01869158878504651,Parsa2016
5,-23.12535885167464,-5.455992575597626,1.7078651685393256,0.2921348314606744,Bouwens2021
5,-22.620095693779902,-4.972846508181895,0.38202247191011196,0.19101123595505598,Bouwens2021
5,-22.10334928229665,-4.141385834024592,0.14606741573033677,0.0786516853932584,Bouwens2021
5,-21.621052631578948,-3.6470038115526826,0.05617977528089746,0.06741573033707882,Bouwens2021
5,-21.127272727272725,-3.1863296542493114,0.033707865168539186,0.04494382022471921,Bouwens2021
5,-20.599043062200955,-2.838015047507738,0.04494382022471921,0.033707865168539186,Bouwens2021
5,-20.105263157894736,-2.6582397666088617,0.05617977528089879,0.033707865168539186,Bouwens2021
5,-19.611483253588517,-2.399812800316727,0.04494382022471921,0.04494382022471877,Bouwens2021
5,-19.12918660287081,-2.2649813396425698,0.0786516853932584,0.06741573033707837,Bouwens2021
5,-18.35980861244019,-1.9391386430133561,0.056179775280899236,0.04494382022471921,Bouwens2021
5,-17.349282296650717,-1.6694757216650418,0.0786516853932584,0.0786516853932584,Bouwens2021
5,-16.361722488038275,-1.197565609305491,0.15730337078651702,0.1123595505617978,Bouwens2021
5,-21.72,-4.6777807052660805,0.5440680443502757,0.2376873303021929,Duncan2014
5,-21.16,-3.9208187539523753,0.12157395898752954,0.09429639740536988,Duncan2014
5,-20.59,-3.518557371497695,0.07354208835966958,0.06435912865697135,Duncan2014
5,-20.03,-3.192464971931147,0.06004553581018035,0.052023544557200374,Duncan2014
5,-19.47,-2.812479279163537,0.05912145211865649,0.05377666627353017,Duncan2014
5,-18.91,-2.408935392973501,0.09000534480874745,0.08047847823607457,Duncan2014
5,-18.34,-2.3716110699496884,0.2134155820794934,0.13428963367712443,Duncan2014
5,-17.78,-1.9956786262173574,0.2416428100552066,0.1600314820017945,Duncan2014
6,-21.85225505443235,-4.18844082361044,0.17654476670870878,0.15132408575032041,Atek2018
6,-21.346811819595647,-4.1783525512270865,-0.41866330390920314,0.19167717528373895,Atek2018
6,-20.8646967340591,-3.643674114909304,-0.3026481715006284,0.12105926860025695,Atek2018
6,-20.35147744945568,-3.245187355766806,-0.23203026481714728,0.08575031525851529,Atek2018
6,-19.853810264385693,-2.9324509118828206,-0.19672131147540606,0.07566204287516021,Atek2018
6,-19.36391912908243,-2.6499792851488992,-0.27238335435056404,0.08575031525851529,Atek2018
6,-18.601866251944013,-2.29184561553982,-0.18158890290037544,0.0907944514501926,Atek2018
6,-18.236391912908243,-2.0194622611892523,-0.11097099621689921,0.0907944514501926,Atek2018
6,-17.74650077760498,-1.8227409497138383,-0.15132408575031642,0.08575031525851129,Atek2018
6,-17.241057542768274,-1.5907106848966879,0.030264817150058132,0.05548549810844805,Atek2018
6,-16.758942457231726,-1.429298326763016,0.035308953341739224,0.22698612862546974,Atek2018
6,-16.261275272161743,-1.313283194354442,0.1866330390920472,0.1513240857503133,Atek2018
6,-15.748055987558322,-1.1367384276457377,0.20680958385876114,0.35813366960907445,Atek2018
6,-15.250388802488338,-0.9753260695120701,0.7414880201765386,0.36822194199243063,Atek2018
6,-14.752721617418354,-0.9955026142787825,0.5195460277427397,0.7313997477931911,Atek2018
6,-14.239502332814931,-0.9904584780871032,0.8171500630516924,0.5447667087011334,Atek2018
6,-13.757387247278384,-1.0762087933456153,1.4930643127364627,0.7515762925598979,Atek2018
6,-13.244167962674963,-1.1619591086041279,3.1778058007566274,1.4123581336696085,Atek2018
6,-21.885542650804336,-5.144295728563963,1.6263517426122007,0.309141240331245,Bhatawdekar2019
6,-20.930111905692268,-4.174948566693815,1.3440923492662806,0.32258216382390703,Bhatawdekar2019
6,-19.975283765906664,-3.4206561807062723,0.37634585779455865,0.20161385238994267,Bhatawdekar2019
6,-19.021208882779142,-2.935182264571985,0.3360230873165708,0.18817292889727888,Bhatawdekar2019
6,-18.06713399965162,-2.449708348437699,0.3225821638239075,0.14785015841929106,Bhatawdekar2019
6,-17.11388769884799,-2.2599347491419937,0.21505477588260513,0.16129108191195352,Bhatawdekar2019
6,-16.159586838723044,-1.6938152920517298,0.2553775463605934,0.20161385238994223,Bhatawdekar2019
6,-15.23390973160524,-1.3427976893852014,0.3494640108092333,0.24193662286793094,Bhatawdekar2019
6,-14.251964352128658,-0.9110403886804352,0.6451878669183806,0.29570031683858145,Bhatawdekar2019
6,-22.516746411483254,-5.321161114923468,1.8426966292134832,0.3146067415730336,Bouwens2021
6,-22.011483253588516,-4.455992575597626,0.21348314606741603,0.13483146067415763,Bouwens2021
6,-21.529186602870812,-3.882958867732457,0.12359550561797761,0.06741573033707837,Bouwens2021
6,-21.012440191387558,-3.3661049351481878,0.0786516853932584,0.04494382022471921,Bouwens2021
6,-20.530143540669854,-3.107677968856053,0.05617977528089879,0.056179775280899236,Bouwens2021
6,-20.0133971291866,-2.7481274070583,0.04494382022471877,0.05617977528089879,Bouwens2021
6,-19.5311004784689,-2.5346442609908846,0.06741573033707837,0.04494382022471921,Bouwens2021
6,-18.773205741626793,-2.163857744136952,0.06741573033707837,0.0786516853932584,Bouwens2021
6,-22.19,-4.79317412396815,0.8266146343202445,0.26152145438030683,Duncan2014
6,-21.56,-5.018634490921456,2.9813655090785476,0.3526859312683479,Duncan2014
6,-20.94,-4.011887159731648,0.15496572835556677,0.11225770484921105,Duncan2014
6,-20.31,-3.5044556624535517,0.0917377269990256,0.07546533476285688,Duncan2014
6,-19.69,-3.0883098412461387,0.10891643346188573,0.0900435540551392,Duncan2014
6,-19.06,-2.5272435506827877,0.1423426759680213,0.11585135542547409,Duncan2014
6,-18.44,-2.6458915608525992,0.37183720610783233,0.2021940616198865,Duncan2014
6,-17.81,-1.9281179926938745,0.386140268703862,0.19926231064295274,Duncan2014
6,-19.49814126394052,-2.5086343857916216,0.4567474048442808,0.3044982698961878,Livermore2017
6,-18.99628252788104,-2.480952724891968,0.4567474048442808,0.3460207612456676,Livermore2017
6,-18.49442379182156,-2.4117485726428347,0.4567474048442808,0.4844290657439352,Livermore2017
6,-17.992565055762082,-1.8027520328504485,0.24913494809688075,0.19377162629757372,Livermore2017
6,-17.490706319702603,-1.5812987456532186,0.1660899653979202,0.1522491349480939,Livermore2017
6,-17.00743494423792,-1.1383921712587566,0.2214532871972268,0.12456747404844037,Livermore2017
6,-16.486988847583646,-0.7646897491134296,0.22145328719722768,0.13840830449827113,Livermore2017
6,-15.985130111524164,-0.7093264273141217,0.20761245674740314,0.221453287197233,Livermore2017
6,-15.501858736059477,-0.3633056660684465,0.3044982698961958,0.1522491349480979,Livermore2017
6,-15.000000000000004,-0.3494648356186202,0.3598615916955037,0.3044982698961958,Livermore2017
6,-14.498141263940523,-0.29410151381931315,0.7335640138408288,0.4429065743944665,Livermore2017
6,-13.996282527881041,-0.16953403977087145,0.8027681660899657,0.5121107266436016,Livermore2017
6,-13.494423791821564,0.16264589102497873,1.2595155709342558,0.12456747404844391,Livermore2017
6,-12.992565055762084,0.5640299740699614,2.131487889273348,0.11072664359861664,Livermore2017
6,-12.490706319702603,0.9792548875647696,0.7889273356401432,0.4982698961937744,Livermore2017
7,-20.108581436077056,-4.08355795148248,2.0619946091644206,0.3234501347708898,Bhatawdekar2019
7,-19.15586690017513,-3.4636118598382755,0.2560646900269541,0.18867924528301927,Bhatawdekar2019
7,-18.231173380035028,-2.8706199460916437,0.3504043126684646,0.10781671159029571,Bhatawdekar2019
7,-17.278458844133098,-2.5741239892183296,0.17520215633423142,0.1617250673854449,Bhatawdekar2019
7,-16.353765323992995,-2.1428571428571432,0.4716981132075473,0.2156334231805932,Bhatawdekar2019
7,-15.429071803852889,-1.5498652291105128,0.9568733153638811,0.24258760107816757,Bhatawdekar2019
7,-22.195215311004784,-5.635767856496502,1.5617977528089888,0.5393258426966288,Bouwens2021
7,-21.68995215311005,-4.0065543733504345,0.12359550561797761,0.11235955056179758,Bouwens2021
7,-21.18468899521531,-3.927902687957177,0.16853932584269593,0.12359550561797761,Bouwens2021
7,-20.679425837320572,-3.3099251598672885,0.08988764044943842,0.0786516853932584,Bouwens2021
7,-20.185645933014353,-3.1526217890807717,0.11235955056179803,0.08988764044943798,Bouwens2021
7,-19.691866028708134,-2.8492510025639177,0.0786516853932584,0.10112359550561756,Bouwens2021
7,-19.19808612440191,-2.5234083059347046,0.1573033707865168,0.08988764044943798,Bouwens2021
7,-18.70430622009569,-2.444756620541446,0.1460674157303372,0.11235955056179803,Bouwens2021
7,-17.946411483253588,-1.8380150475077386,0.12359550561797761,0.10112359550561845,Bouwens2021
7,-16.935885167464114,-1.6807116767212213,0.202247191011236,0.12359550561797739,Bouwens2021
7,-21.62,-4.8996294548824375,999.0,0.31626996222071835,Duncan2014
7,-20.88,-4.2403321553103694,0.32991556468722294,0.18481482746053768,Duncan2014
7,-20.12,-3.812479279163537,0.2679196970523523,0.16097884944737473,Duncan2014
7,-19.38,-3.0150228735845066,0.27148658332155096,0.17489072067707312,Duncan2014
7,-18.62,-2.6595558851598815,0.6080503550171499,0.23933948177669162,Duncan2014
7,-17.88,-2.1390633792999063,999.0,0.42820621523223945,Duncan2014
7,-19.00000000000001,-2.995780355290529,0.7335640138408164,0.5674740484428948,Livermore2017
7,-18.500000000000004,-2.443531220342439,0.44290657439445535,0.3737024221453211,Livermore2017
7,-18.000000000000007,-2.0850537116919186,0.3321799307958404,0.23529411764705443,Livermore2017
7,-17.500000000000014,-1.8788253379894964,0.3598615916954939,0.22145328719722723,Livermore2017
7,-17.00000000000001,-1.3127353725915754,0.35986159169549436,0.13840830449826713,Livermore2017
7,-16.500000000000007,-1.2310744729375904,0.318339100346015,0.2629757785467075,Livermore2017
7,-16.0,-1.2324585559825727,0.45674740484428167,0.4982698961937637,Livermore2017
7,-15.500000000000014,-0.8601402168822346,0.7197231833909887,0.3875432525951572,Livermore2017
7,-14.981481481481499,-0.30794234426913814,0.8581314878892696,0.318339100346023,Livermore2017
7,-14.500000000000014,-0.10166270823171641,0.733564013840835,0.38754325259515854,Livermore2017
8,-20.80910683012259,-4.609164420485177,1.4824797843664062,0.3099730458220673,Bhatawdekar2019
8,-19.828371278458842,-3.8005390835579522,0.4582210242587088,0.18867924528299618,Bhatawdekar2019
8,-18.93169877408056,-3.1805929919137483,0.3908355795148051,0.2156334231805932,Bhatawdekar2019
8,-17.95096322241681,-2.74932614555256,0.9703504043126312,0.12129380053908356,Bhatawdekar2019
8,-17.026269702276707,-2.2102425876010763,0.5390835579514839,0.24258760107816713,Bhatawdekar2019
8,-16.07355516637478,-1.7789757412398899,0.6064690026954196,0.22911051212937927,Bhatawdekar2019
8,-21.850717703349282,-5.175093699193131,0.393258426966292,0.22471910112359605,Bouwens2021
8,-21.345454545454544,-4.534644260990884,0.21348314606741603,0.13483146067415674,Bouwens2021
8,-20.86315789473684,-3.9953184182942554,0.13483146067415674,0.10112359550561845,Bouwens2021
8,-20.12822966507177,-3.5121723508785245,0.1797752808988764,0.11235955056179758,Bouwens2021
8,-19.358851674641148,-2.7705993171706593,0.21348314606741603,0.12359550561797716,Bouwens2021
8,-18.60095693779904,-2.5683521261594238,0.1573033707865168,0.1348314606741572,Bouwens2021
8,-17.601913875598086,-2.107677968856053,0.22471910112359517,0.12359550561797761,Bouwens2021
8,-20.481481481481477,-2.912404818914114,0.7448275862068368,0.5241379310344421,Livermore2017
8,-19.48148148148148,-2.402059991327935,0.8689655172413104,0.31724137931032104,Livermore2017
8,-19.999999999999996,-2.8986117154658775,1.5034482758619525,0.11034482758619824,Livermore2017
8,-19.0,-2.8434393016727704,1.4206896551723016,0.11034482758619824,Livermore2017
8,-18.500000000000004,-2.291715163741726,0.4551724137930684,0.3034482758620456,Livermore2017
8,-17.999999999999993,-2.3193013706382803,0.7310344827585649,0.3586206896551438,Livermore2017
8,-17.5,-2.3744737844313963,0.758620689655114,0.5103448275861666,Livermore2017
8,-17.000000000000007,-1.7124048189141483,0.7310344827585631,0.37241379310341927,Livermore2017
8,-16.50000000000001,-1.6434393016727533,0.7862068965516631,0.5241379310344421,Livermore2017
8,-16.000000000000004,-1.257232405121055,1.3931034482757525,0.09655172413792279,Livermore2017
8,-15.500000000000007,-0.6227496465003862,0.7310344827586075,0.38620689655173557,Livermore2017
8,-15.00000000000001,-0.5537841292590161,0.7724137931034392,0.5241379310344989,Livermore2017
9,-21.002391578630213,-4.973118279569896,0.7526881720429266,0.2822580645160979,Bhatawdekar2019
9,-20.103383989605117,-4.139784946236562,1.0349462365590227,0.2956989247311501,Bhatawdekar2019
9,-19.317063066116802,-3.521505376344088,0.9408602150536574,0.28225806451611746,Bhatawdekar2019
9,-21.919617224880383,-5.71441954188976,0.6404494382022472,0.2359550561797752,Bouwens2021
9,-21.127272727272725,-4.759363362114479,0.22471910112359605,0.1573033707865168,Bouwens2021
9,-20.311961722488036,-4.175093699193131,0.21348314606741603,0.11235955056179758,Bouwens2021
9,-19.12918660287081,-3.3323970699796486,0.696629213483146,0.25842696629213524,Bouwens2021
9,-17.923444976076553,-2.647003811552682,0.32584269662921317,0.19101123595505642,Bouwens2021
10,-21.25,-6.022276394711152,0.7736036226329226,0.5205869485007533,Oesch2018
10,-20.25,-5.008773924307505,0.33801356191715115,0.2943312333152788,Oesch2018
10,-19.25,-4.468521082957745,0.45229767099463025,0.36614817424818646,Oesch2018
10,-18.25,-3.721246399047171,0.43365556093857194,0.36469907553335856,Oesch2018
10,-17.25,-3.2006594505464183,0.7579478642953563,0.5269953114751695,Oesch2018
